Number,Finnish,English,Examples
0011,tai,or,"Tai ten laivas?
Is that a ship over there?

Julkaise tai häviä.
Publish or perish.

Julkaise tai tuhoudu.
Publish or perish.

Julkaise tai kuole.
Publish or perish.

Paikallanne tai ammun.
Don't move or I'll shoot.

Paikallasi tai ammun.
Don't move or I'll shoot.

Pysähdy tai ammun.
Stop, or I'll shoot.

Rahat tai henki!
Your money or your life!

Hän tai minä.
It's him or me.

Käytä tai heitä.
Use it or lose it."
0012,en,not,"En.
No.

Ensi kertaan.
Until next time.

En malta.
I have no patience.

En kuule.
I can't hear it.

En käsitä.
I don't get it.

En varasta.
I don't get it.

En ehdi.
I don't have time.

En nuku.
I'm not sleeping.

En häviä!
I won't lose!

Entä nyt?
And now?"
0013,myös,also,"Myös.
That, too.

Minä myös!
Me too!

Mää myös.
Me too.

Myös minä.
So do I.

Minäkin myös.
Me too.

Minä myös.
Me, too.

Tarvitaanko myös suuntanumero?
Do I have to dial the area code, too?

Olen myös Tommi.
My name is Tom, too.

Tatua myös kidutettiin.
Dan was also tortured.

Myös Tatua kidutettiin.
Dan was also tortured."
0014,ole,not,"Olen.
I am.

Olen!
I am!

Olen professori.
I'm a teacher.

Olen japaninamerikkalainen.
I'm Japanese-American.

Olen turkkilainen.
I'm Turkish.

Olet laulaja.
You are a singer.

Oletko palannut?
You've come back?

Olen yhteistyökykyinen.
I'm cooperative.

Olen alasti.
I'm naked.

Olet vakooja.
You're a spy."
0015,kuin,than,"Söin kuin porsas.
I used to eat like a pig.

Niin kuin ajattelinkin.
It was just as I thought.

Niin kuin haluat.
Do as you like.

Taistele kuin mies.
Fight like a man.

Olet kuin enkeli!
You're an angel!

Käyttäydyt kuin kolmivuotias.
You are acting like a three-year-old child.

Selvää kuin pläkki!
Understood!

Samaa kuin yleensä.
Same as usual.

Puhutte kuin Eco.
You're speaking like Eco.

Puhut kuin Eco.
You're speaking like Eco."
0016,nyt,now,"Menehän nyt.
Go now.

Nyt suudella!
Now kiss!

Kuuntelehan nyt.
Now listen to me.

Nyt tihuttaa.
The rain has let up.

Pelaa nyt.
Play now.

Leiki nyt.
Play now.

Soita nyt.
Play now.

Kävelen nyt.
I'm leaving now.

Kävelkää nyt!
Go now.

Kävele nyt!
Go now."
0017,joka,which,"Joka tapauksessa.
Anyway.

Rukoilen joka päivä.
I pray every day.

Kutittaa joka puolelta.
My body itches all over.

Kiitos joka tapausessa!
Thank you all the same.

Epäonnistun joka kerta.
I always fail.

Tervetuloa joka iikka!
Welcome, everybody.

Joku rakastaa jokaista.
Somebody loves everyone.

Jokin rakastaa jokaista.
Somebody loves everyone.

Joka iikka itkee.
Everybody's crying.

Joka ikinen itkee.
Everybody's crying."
0018,jos,if,"Jos haluat.
If you want.

Mitä jos juostaan?
How about running?

Oletko jostakin huolissasi?
Are you worried about something?

Soita, jos sataa.
Telephone me if it rains.

Tule jos mahdollista.
Please come if you can.

Odottele jossain muualla.
Wait somewhere else.

Jos te vaaditte.
If you insist.

Jos sinä vaadit.
If you insist.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0019,sen,its,"Luin sen.
I've read it.

Hoidan sen.
I'll handle it.

Vaihdoitko sen?
You changed it?

Ostatko sen?
Will you buy it?

Ostin sen.
I bought it.

Tiesin sen!
I knew it!

Toistaisitko sen?
Do you want to repeat that?

Ammun sen.
I'm gonna shoot him.

Tiedän sen.
I know that.

Kiellän sen.
I forbid that."
0020,sitten,then,"Mitäs sitten?
So what?

Palasit sitten.
You're back, are you?

Mitä sitten.
Whatever.

Kuka sitten?
Then who?

Mitä sitte.
Whatever.

Ja sitten?
Therefore?

Kukas sitte?
Who's next?

Vakavoidupa sitten.
Get serious.

Rauhoitutaanpa sitten.
Be cool.

Entä sitten!
Big deal!"
0021,jo,already,"Meni jo.
It's all over.

Mene jo.
Get on with it.

Kyllästyin jo.
I got bored.

Luovutetaan jo.
Let's give up.

Lähdetkö jo?
Leaving already?

Perillä jo?
There yet?

Päättäisit jo!
Decide already!

Kuolkaa jo!
Die already!

Kuole jo!
Die already!

Nyt jo?!
Already?!"
0022,olla,be,"Olin levoton.
I felt ill at ease.

Olin alasti.
I was naked.

Olin liikuttunut.
I was moved.

Olin metsä.
I was a forest.

Olin pahoillani.
I was sorry.

Olinko avuksi?
Was I any help?

Olin elokuvissa.
I was at a movie theater.

Olin tunturilla.
I was in the mountains.

Olin vuorella.
I was in the mountains.

Olin ilkosillani.
I was naked."
0023,hän,he,"Hänkö?
Her?

Hän etanoi.
He's stalling.

Hän hidastelee.
He's stalling.

Äänestä häntä.
Vote for her.

Vihaatko häntä?
Do you hate him?

Häntä ahdistaa.
He's distressed.

Hän raivoistui.
He went ballistic.

Hän kosti.
He took revenge.

Hän juo.
She drinks.

Hän vastasi.
He answered."
0024,vain,only,"Ärsytin vain.
I was just teasing.

Hetki vain.
Just a minute.

Kappas vain.
Well, well, well.

Vain aikuisille.
Adults only.

Vain raittiille.
No drinkers.

Vain raittiita.
No drinkers.

Koska vain.
Any time.

Milloin vain.
Any time.

Ota vain!
Please, take some!

Unissasi vain!
In your dreams!"
0025,ovat,are,"He ovat?
They are?

Milloin vaalit ovat?
When do the elections take place?

He ovat neulanteräviä.
They are as sharp as needles.

Ovatko ne amerikkalaisia?
Are they American?

Ne ovat ulkomaalaisia.
They're foreigners.

He ovat ulkomaalaisia.
They're foreigners.

Ihmisapinat ovat älykkäitä.
Apes are intelligent.

Leopardit ovat petoeläimiä.
Leopards are predators.

Käteni ovat puhtaat.
My hands are clean.

Kukat ovat kuihtuneet.
The flowers have wilted."
0026,sitä,the,"Pilkkaan sitä.
I mock it.

Googlasitteko sitä?
Have you googled him?

Autetaan sitä.
Let's help him.

Kerjäsin sitä.
I had it coming.

Pohtikaa sitä.
Consider it.

Pohdi sitä.
Consider it.

Rakastatko sitä?
Do you love it?

Sitä pelkään.
I fear so.

Sitä epäilen.
I doubt it.

Nussiksä sitä?
You screwed her?"
0027,kanssa,with,"Pysy kanssani.
Abide with me.

Minä kanssa!
Me too!

Tulkaa kanssani!
Come with me.

Tule kanssani!
Come with me.

Lounastatteko kanssani?
Do you want to eat lunch together?

Minä kanssa.
So do I.

Kannan riisipussia.
I carry a bag of rice.

Olisitpa kanssani.
I wish you were with me.

Olisinpa kanssasi.
I wish I was with you.

Naulan kantaan.
You guessed right."
0028,vielä,yet,"Vieläkin?
Still?

Vielä yksi?
One more?

Vielä lujempaa.
Louder.

Vielä kovempaa.
Louder.

Vielä vähän.
A little more.

Kerran vielä.
Once again.

Yrittäkäähän vielä.
Try again.

Yritähän vielä.
Try again.

Ehdimmekö vielä?
Do we still have time?

Jaksakaa vielä.
Hang on."
0029,tämä,this,"Anteeksi tämä.
I apologize for this.

Tarvitsetko tämän?
Do you need this?

Syötkö tämän?
Are you going to eat this?

Tässähän tämä.
Okey-dokey.

Kääntäkää tämä.
Please translate this.

Käännä tämä.
Please translate this.

Ottakaa tämä.
Take this.

Tarkastakaa tämä.
Check this.

Tarkasta tämä.
Check this.

Allekirjoittakaa tämä.
Sign this."
0030,mitä,what,"Mitä?!
What?!

Mitä?
What?

Mitä jätkä?
What's up?

Mitä ostit?
What did you buy?

Mitä ämmä?
Bitch, what's up?

Mitä toit?
What did you bring?

Mitä sanoin?
What did I say?

Anteeksi mitä?
I beg your pardon?

Mitä uupuu?
What is missing?

Mitä juotte?
What are you guys drinking?"
0031,vaikka,although,"Vaikka.
Whatever.

Vaikka niin.
Whatever.

En välitä, vaikket vastaa.
It doesn't matter whether you answer or not.

Hän epäonnistui, vaikka yrittikin.
For all his efforts, he didn't succeed.

Tomi tuli vaikka satoi.
Tom came even though it was raining.

Menin ulos, vaikka satoi.
I went out although it was raining.

Vaikka sataa, minä menen.
I will go even if it rains.

Vaikka sataisi, minä menen.
I will go even if it rains.

En voi vaikka haluan.
I can't even if I want to.

Vaikka opiskelin insinööriksi päädyin merimieheksi.
Even though I studied to become an engineer I ended up as a sailor."
0032,paljon,much,"Paljonko?
How much?

Join paljon.
I used to drink a lot.

Paljonko tarvitset?
How much do you need?

Hiihdän paljon.
I often ski.

Paljonko tarjosit?
How much did you bid?

Paljonko tienaat?
How much do you make?

Paljonko ansaitset?
How much do you make?

Sataa paljon.
It's raining very hard.

Miten paljon?
How much?

Kuinka paljon?
How much?"
0033,ollut,had been,"Olut, kiitos!
A beer, please.

Ei ollut missään.
I couldn't find them anywhere.

Tilaa mulle olut.
Order me a beer.

En ollut kokouksessa.
I wasn't present at that meeting.

Olen ollut kirjastossa.
I've been to the library.

En ollut juhlassa.
I was absent from the party.

En ollut juhlissa.
I was absent from the party.

Osta hänelle olut.
Buy him a beer.

Ei ollut nälkä.
I wasn't hungry.

Olut pannaan maltaista.
Beer is brewed from malt."
0034,ne,they,"Saitko ne?
Did you receive them?

Ne nauroivat.
They laughed.

Tapoin ne.
I killed them.

Surmasin ne.
I killed them.

Pysäyttäkää ne.
Stop them.

Pysäytä ne.
Stop them.

Ne arvostavat.
They approve.

Ne hyväksyvät.
They approve.

Ne paloivat.
They burned.

Tappakaa ne.
Kill them."
0035,aina,always,"Aina.
Always.

Mokaan aina.
I always fail.

Lähes aina.
Almost always.

Aina auki.
Always open.

Aina palveluksessanne!
Always at service!

Melkein aina.
Almost always.

Valitamme aina.
We're always complaining.

Noudatan aina sääntöjä.
I always play by the rules.

Hän miesselittää aina.
He's always mansplaining.

Hän aina miesselittää.
He's always mansplaining."
0036,hyvin,very,"Hyvinkö?
Well?

Hyvin.
I'm fine, thank you.

Hyvin!
Very!

Kaikki hyvin!
Nothing is wrong at all!

Kaikki hyvin?
You all right?

Hyvin huomattu.
That's perceptive of you.

Hyvin meni.
You did great.

Pärjäsit hyvin.
You did great.

Lauloin hyvin.
I sang well.

Syö hyvin.
Eat well."
0037,täällä,here,"Täällä!
Here!

Täällä?
Here?

Ulos täältä.
Get out of here.

Häivy täältä!
Get out of here!

Syöttekö täällä?
Is it for here?

Poistukaa täältä.
Get out of here.

Poistu täältä.
Get out of here.

Pysähtykää täällä.
Stop here.

Pysähdy täällä.
Stop here.

Olen täällä!
I'm here."
0038,jälkeen,after,"Teidän jälkeenne.
After you.

Sinun jälkeesi.
After you.

Sinun jälkeesi!
Go ahead.

Teidän jälkeenne!
Go ahead.

Jälkeemme vedenpaisumus.
After us, the Deluge.

Dan seurasi jälkiä.
Dan followed the tracks.

Synnyin sodan jälkeen.
I was born after the war.

Palaamme mainostauon jälkeen!
We'll be back after the commercial break!

Jälki on kylmentynyt.
The trail has gone cold.

Lähdin heti jälkeesi.
I left right after you."
0039,ei ole,there is no,"Ei ole mikroa.
I don't have a microwave oven.

Eurooppaa ei ole.
Europe doesn't exist.

Ei, olen britti.
No, I am English.

Ei ole aikaa!
There’s no time!

Ei ole pakotietä.
There's nowhere to run.

Ei ole syntymäpäiväni.
It's not my birthday.

Ei ole ratkaisua.
There isn't any solution.

Ratkaisua ei ole.
There is no solution.

Pukeutumisohjetta ei ole.
There is no dress code.

Pukukoodia ei ole.
There is no dress code."
0040,koska,because,"Saanko koskea?
Can I touch it?

Saako koskea?
Can I touch it?

Koska tulet?
When will you come?

Ei koskaan.
Never.

Koskien mitä?
What about?

Mitä koskien?
About what?

Koska vain.
Any time.

Koska vaan.
Any time.

Koska tahansa.
Any time.

Älkää koskeko!
Don't touch."
0041,siitä,thence,"Häivy siitä!
Go away!

Huolehdin siitä.
I'll handle it.

Vitut siitä.
Fuck it.

Jonoon siitä.
Get in the queue.

Jonoon siitä!
Queue up!

Kirjoitan siitä.
I will write about it.

Tykkään siitä.
I like it.

Ylös siitä!
Stand up!

Menkäähän siitä!
Be off!

Menehän siitä!
Be off!"
0042,ihan,quite,"Ihana!
Wonderful!

Ihan hölmöö.
That's so silly.

Ihanko totta!
Holy cow!

Ihan kohta.
Wait a moment.

Ihan just.
Wait a moment.

Ihan just!
Just a minute.

Ihan totta!
Fair does!

Ihanko totta.
No kidding.

Ihan hyvin.
I'm fine, thank you.

Ihan totta.
True."
0043,kaikki,all,"Tarkkailen kaikkea.
I'm monitoring everything.

Valvon kaikkea.
I'm monitoring everything.

Kaikki hyvin!
Nothing is wrong at all!

Kaikki hyvin?
You all right?

Kaikki lauloivat.
Everybody sang.

Moikka kaikki!
Hi, everybody!

Kaikki pierevät.
Everyone farts.

Kaikki rauhoittuivat.
Everybody calmed down.

Kaikki helpottuivat.
Everyone's relieved.

Moi kaikille!
Hello everyone!"
0044,vaan,but,"Kiitti vaan.
Thank you kindly.

Koska vaan.
Any time.

Milloin vaan.
Any time.

Eikös vaan?
Right?

Eikö vaan?
Right?

Aja vaan.
Drive on.

Rentoudu vaan.
Just relax.

Puhu vaan.
Go ahead and talk.

Jatka vaan.
Go on.

Yritä vaan.
Give it a try."
0045,se on,it is,"Se on hankalaa.
It's sticky.

Se on hankala.
It's sticky.

Se on tahmeaa.
It's sticky.

Se on tahmea.
It's sticky.

Se on kihlattuni.
That's my fiancée.

Se on putoamaisillaan.
It's just about to fall off.

Se on perheyritys.
It's a family business.

Se on tarpeeksi.
That's enough.

Se on käsky!
That's an order!

Se on kaivossa.
It's in the well."
0046,olisi,should,"Olit täydellinen.
You were perfect.

Olit väärässä.
You were mistaken.

Olimme oikeassa.
We were right.

Olimme hengenvaarassa.
We were in danger of losing our lives.

Olitko kännissä?
Is it done?

Olitko kateellinen?
Were you jealous?

Olitko kotona?
Were you home?

Olitko vakavissasi?
Were you serious?

Oli joulu.
It was Christmas.

Olitko hermostunut?
Were you nervous?"
0047,eli,or,"Tomi eli vielä.
Tom was still alive.

Väki eli kylissä.
People lived in villages.

Hän eli yhdeksänkymmentävuotiaaksi.
She lived to be ninety.

Hän eli seitsemänkymmenvuotiaaksi.
He lived to be seventy years old.

Isoisäni eli kahdeksankymmentäyhdeksänvuotiaaksi.
My grandfather lived till he was eighty-nine.

Tom eli yhdeksänkymmentäseitsemänvuotiaaksi.
Tom lived to be 97 years old.

Hän eli yksinäistä elämää.
She led a solitary life.

Hän eli onnellista elämää.
She lived a happy life.

Layla eli Englannin maaseudulla.
Layla lived in rural England.

Tom eli lyhyen elämän.
Tom didn't live a long life."
0048,minä,I,"Minäkin!
Me too!

Minä!
Me!

Minäkin.
So do I.

Minä metsästän.
I hunt.

Tiesinhän minä!
I knew it!

Minä lennän.
I'm flying.

Sokeudunko minä?
Am I going to be blind?

Kuolenkohan minä?
Am I going to die?

Minä juon.
I'm drinking.

Minä syötän.
I'll pass."
0049,vähän,little,"Nukuttaa vähän.
I feel kind of sleepy.

Huilaa vähän.
Take a rest.

Huimaa vähän.
I'm a little dizzy.

Vähänkö siisti!
This is so cool!

Vähän enemmän.
A little more.

Vielä vähän.
A little more.

Vähän hiljempaa.
Lower your voice.

Venatkaa vähä.
Wait a bit.

Venaa vähä.
Wait a bit.

Odottakaa vähän.
Wait a bit."
0050,ehkä,perhaps,"Ehkä!
Maybe!

Ehkä.
Maybe.

Hömm, ehkä!
Hm, maybe!

Ehkäpä ei.
Perhaps not.

Ehkäpä myöhemmin.
Maybe later.

Ehkä myöhemmin.
Maybe later.

Ehkä valehtelet.
Maybe you're lying.

Ehkä toiste.
Maybe some other time.

Minut ehkä valitaan.
I may be elected.

Olen ehkä raskaana.
I might be pregnant."
0051,miten,how,"Miten?
How?

Miten outo!
How odd!

Miten kehtaatkaan!
How dare you!

Miten absurdia!
How absurd!

Miten tärkeää?
How important?

Miten tärkeä?
How important?

Miten romanttista!
How romantic!

Miten ylimielistä!
How arrogant!

Miten nerokasta!
How ingenious!

Miten tylsää.
How boring."
0052,aika,time,"Aikaako tarvitset?
Is it time you need?

Aika ruuhka!
What heavy traffic!

Mihin aikaan?
What time?

Aika ironista.
It's ironic.

Tuhlaat aikaasi.
You are wasting your time.

Aikansa kutakin.
There is a time for everything.

On aika.
It's time.

Pitkästä aikaa!
It's been a long time.

Arvostan aikaasi.
I appreciate your time.

Hyvänen aika!
Omigod!"
0053,eikä,and not,"Eikä tuo olekin preeriapalo?
Isn't that just a prairie fire?

Ei ennen eikä jälkeen.
Neither before nor after.

En tiedä eikä hänkään.
I don't know and neither does he.

Viisikymppinen eikä yhtään hiljaisempi.
Fifty years and not one bit quieter.

Eikä tuo ole Tomin vika?
Isn't it Tom's fault?

Eikä se ole Tomin vika?
Isn't it Tom's fault?

Tomi ei polta eikä juo.
Tom doesn't smoke or drink.

”Matikka on hauskaa.” ”Eikä ole.”
""Math is fun."" ""No, it's not.""

Hän hämmentyi, eikä voinut vastata.
He was stunned and didn't know how to answer.

13 tyyppiä? Eikä, niinkö vähän!
Just 13 people? That's all?"
0054,jossa,where,"Jos haluat.
If you want.

Mitä jos juostaan?
How about running?

Oletko jostakin huolissasi?
Are you worried about something?

Soita, jos sataa.
Telephone me if it rains.

Tule jos mahdollista.
Please come if you can.

Odottele jossain muualla.
Wait somewhere else.

Jos te vaaditte.
If you insist.

Jos sinä vaadit.
If you insist.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0055,hyvä,good,"Hyvää!
I'm fine, thanks!

Hyvää.
I'm fine, thank you.

Hyvältä.
Great.

Hyvä!
Good!

Hyvä.
Good.

Hyvä yritys.
Good try.

Hyvää loppupäivää.
Have a nice day.

Olkaa hyvät...
Please...

Ole hyvä...
Please...

Hyvä huomio!
How perceptive!"
0056,taas,again,"Taas!
Again!

Taas.
Again.

Jutellaan taas.
See you.

Nähään taas.
See you again.

Voitin taas.
I won again.

Tekö taas?
You again?

Sinäkö taas?
You again?

Ei taas!
Not again!

Hei taas.
Hello again.

Koettakaa taas.
Try again."
0057,sillä,for,"Silta sortui.
The bridge collapsed.

Seison sillalla.
I'm standing on the bridge.

Silta ylittää lahden.
The bridge crosses the bay.

Sillalla on koira.
There is a dog on the bridge.

Ok, sillä mennään.
OK, we've got a deal.

Onko sillä sivuvaikutuksia?
Is there any adverse reaction?

Minä soitan sille.
I'll make a phone call.

Sillä on koira.
He has a dog.

Onko silta turvallinen?
Is the bridge safe?

Soita sille poliisille.
Call the police."
0058,kyllä,Yes,"Kyllä?
Yes?

Kyl!
Yes!

Kyllä!
Yes!

Kyllä.
Yes.

Kyllä. Mieluusti!
Yes. Gladly!

Kyllä. Mielelläni!
Yes. Gladly!

Kyllä. Kernaasti!
Yes. Gladly!

Kyllä, kiitos!
Sure, why not?

Kyllä. Kiitos.
Yes. Thanks.

Kyllä, tiedän.
Yes, I know."
0059,mukaan,by,"Tulkaa mukaani!
Come with me.

Tule mukaani!
Come with me.

Laulakaa mukana!
Sing along.

Laula mukana!
Sing along.

Laulakaa mukana.
Sing along.

Tuletko mukaan?
Are you coming along?

Oletko mukana?
Are you in?

Laula mukana.
Sing along.

Tule mukaani.
Come with me.

Tulen mukaasi.
I'll come with you."
0060,koko,size,"Kirjoita koko nimesi!
Write your full name.

Kirjoita koko nimesi.
Write your full name.

Lorvin koko kesän.
I slacked off all summer.

Satoi koko matkan.
It rained the entire trip.

Menetin koko perheeni.
I lost my entire family.

Luitko sen kokonaan?
Did you read it entirely?

Rentouta koko vartalosi.
Relax your entire body.

Juo maitosi kokonaan.
Drink up your milk.

Valvoin koko yön.
I stayed up all night.

Unohdin sen kokonaan.
I completely forgot it."
0061,niitä,them,"Autetaan niitä.
Let's help him.

Seuraan niitä.
I'm following them.

Onko niitä?
Do they exist?

Tomi kaipasi niitä.
Tom missed them.

Löysikö Tommi niitä?
Did Tom find it?

Voimmeko haastatella niitä?
Can we interview them?

Ne pelkäävät niitä.
They're afraid of them.

He pelkäävät niitä.
They're afraid of them.

Hän pelkää niitä.
She's afraid of them.

Niität mitä kylvät.
You harvest what you sow."
0062,tässä,here,"Tässä!
Here!

Täsin.
Wonderful.

Tässä?
Here?

Anteeksi tästä.
I apologize for this.

Tässähän tämä.
Okey-dokey.

Tässähän nämä.
Okey-dokey.

Jäädään tässä.
Let's get off here.

Asutteko tässä?
Do you live here?

Odotan tässä.
I'll wait here.

Pysähtykää tässä.
Stop here."
0063,tulee,comes,"Tulet.
You are coming.

Tule.
Come.

Tulen.
I'm coming.

Tule!
Come!

Tulethan?
Please come.

Tulen vaurastumaan.
I will prosper.

Tulen kernaasti.
I want to come.

Tulen mieluusti.
I want to come.

Tule äkkiä!
Come quick!

Tule pian!
Come quick!"
0064,siis,therefore,"Söitkö siis kotona?
So you ate at your house?

Siis mitä!?
Oh no!

Ajattelen, siis olen.
I think, therefore I am.

Ajattelen, siis olen olemassa.
I think, therefore I am.

Siis mitä sinä vihjailet?
What are you insinuating?

Sinä siis puhuit Tomille?
So you talked to Tom?

Sinäkö siis puhuit Marille?
So you talked to Mary?

Siis kaksiko kertaa oikealle?
So, two times to the right, right?

Se Tatoeba siis on.
So that's Tatoeba.

Siis ku mä tarviin rahaa.
I need money."
0065,ennen,before,"En.
No.

Ensi kertaan.
Until next time.

En malta.
I have no patience.

En kuule.
I can't hear it.

En käsitä.
I don't get it.

En varasta.
I don't get it.

En ehdi.
I don't have time.

En nuku.
I'm not sleeping.

En häviä!
I won't lose!

Entä nyt?
And now?"
0066,saa,weather,"Saa itkeä.
It's OK to cry.

Kuka saa kultaa?
Who will win the gold?

Kuka saa kultamitalin?
Who will win the gold medal?

Ei saa huijata!
Don't cheat.

Hän saa tulla.
He may come.

Et saa polttaa.
You must not smoke.

Et saa tappaa.
Thou shalt not kill.

Pian syksy saa.
Autumn is just around the corner.

Ei saa koskea!
Don't touch.

Ei saa naurattaa!
Don't make me laugh!"
0067,pitää,keep,"Pitää paikkansa.
That's true.

Pitää mennä.
Gotta go.

Pitää paikkansa!
That's right!

Voit pitää vaihtorahat.
Keep the change!

Tomi pitää päiväkirjaa.
Tom keeps a diary.

Tom pitää rigatonista.
Tom likes rigatoni.

Akateemikoiden pitää ajatella.
Academics need to think.

Juhani pitää sairaanhoitajasta.
John likes the nurse.

Pitää miettiä tulevaisuuttakin.
We have to think about the future.

Pitää noudattaa sääntöjä.
You must keep to the rules."
0068,mitään,any,"Mitä?!
What?!

Mitä?
What?

Mitä jätkä?
What's up?

Mitä ostit?
What did you buy?

Mitä ämmä?
Bitch, what's up?

Mitä toit?
What did you bring?

Mitä sanoin?
What did I say?

Anteeksi mitä?
I beg your pardon?

Mitä uupuu?
What is missing?

Mitä juotte?
What are you guys drinking?"
0069,tämän,this,"Anteeksi tämä.
I apologize for this.

Tarvitsetko tämän?
Do you need this?

Syötkö tämän?
Are you going to eat this?

Tässähän tämä.
Okey-dokey.

Kääntäkää tämä.
Please translate this.

Käännä tämä.
Please translate this.

Ottakaa tämä.
Take this.

Tarkastakaa tämä.
Check this.

Tarkasta tämä.
Check this.

Allekirjoittakaa tämä.
Sign this."
0070,sekä,mixed,"Rakastan sekä kissoja että koiria.
I love both cats and dogs.

Osaan sekä laulaa että tanssia.
I can both sing and dance.

Olet sekä nätti että ystävällinen.
You are both pretty and kind.

Hän puhuu espanjaa sekä ranskaa.
He speaks Spanish as well as French.

Hän puhuu ranskaa sekä englantia.
He speaks French as well as English.

Pidän sekä tiedeaineista että matematiikasta.
I like both science and math.

Pidän sekä luonnontieteistä että matematiikasta.
I like both science and math.

Hän opiskelee kirjallisuutta sekä kieltä.
She studies literature as well as language.

Hän oli älykäs sekä kaunis.
She was intelligent as well as beautiful.

Hän on sekä nuori että kaunis.
She's young and beautiful."
0071,vuotta,year,"Olen kaksikymmentäneljä vuotta.
I'm 24 years old.

Olen 24 vuotta.
I'm 24 years old.

Olen kaksikymmentäseitsemän vuotta.
I'm 27.

Hyvää alkanutta vuotta!
Happy New Year!

Olen yhdeksäntoista vuotta.
I am 19 years old.

Hyvää uutta vuotta!
Happy New Year!

Onnellista uutta vuotta!
Happy New Year!

Hän on 31 vuotta.
She is thirty-one.

Asuin siellä viisi vuotta.
I lived there for five years.

Lauloin kirkkokuorossa kolme vuotta.
I sang in the church choir for three years."
